unit_id,num_links,num_links_with_feasible_candidates,avg_feasible_candidates_per_link,median_feasible_candidates_per_link,max_feasible_candidates_per_link,avg_feasible_corridors_per_link,median_feasible_corridors_per_link,max_feasible_corridors_per_link,share_links_with_parallel_ambiguity,share_links_with_many_candidates,share_links_with_large_landing_radius,share_links_with_rtt_inconclusive,share_links_with_multi_segment_possible,share_links_with_domestic_submarine_candidate,share_links_with_only_low_support_feasible_candidates
probe_country=TO|service_id=K-Root,20,20,1.6,1.0,3,1.0,1.0,1,0.2,0.0,0.0,0.3,0.2,0.4,1.0
probe_country=TR|service_id=K-Root,12,12,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=TV|service_id=K-Root,8,8,2.5,2.5,3,1.0,1.0,1,0.5,0.0,0.0,0.0,0.5,0.5,1.0
probe_country=TW|service_id=K-Root,94,94,1.7659574468085106,1.0,5,1.3829787234042554,1.0,3,0.0851063829787234,0.2127659574468085,0.3404255319148936,0.7446808510638298,0.0,0.9574468085106383,0.8297872340425532
probe_country=UA|service_id=K-Root,12,12,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
probe_country=UG|service_id=K-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
probe_country=US|service_id=K-Root,1528,1528,2.2853403141361257,2.0,12,1.5261780104712042,2.0,3,0.07984293193717278,0.14397905759162305,0.824607329842932,0.4712041884816754,0.002617801047120419,0.9646596858638743,0.9162303664921466
probe_country=UZ|service_id=K-Root,46,46,9.826086956521738,12.0,12,1.0,1.0,1,0.8260869565217391,1.0,0.0,0.391304347826087,0.0,0.2608695652173913,0.21739130434782608
probe_country=VE|service_id=K-Root,22,22,2.272727272727273,1.0,4,1.5454545454545454,1.0,4,0.45454545454545453,0.0,0.36363636363636365,0.6363636363636364,0.0,0.5454545454545454,0.9090909090909091
probe_country=VI|service_id=K-Root,8,8,2.0,2.0,2,2.0,2.0,3,0.0,0.5,0.0,0.5,0.0,0.5,1.0
probe_country=VN|service_id=K-Root,4,4,2.5,2.5,4,1.5,1.5,2,0.5,0.0,1.0,0.0,0.5,0.5,1.0
probe_country=ZA|service_id=K-Root,188,188,4.117021276595745,5.0,6,1.0,1.0,1,0.7021276595744681,0.7021276595744681,0.1702127659574468,0.3829787234042553,0.07446808510638298,0.2765957446808511,0.4574468085106383
