metric,value
candidate_rows,7638.0
unique_links,1922.0
unique_units,63.0
units_with_network_layer_diversity,107.0
units_with_physical_diversity_cable,63.0
units_with_physical_diversity_corridor,63.0
units_with_network_physical_mismatch_cable,63.0
units_with_network_physical_mismatch_corridor,63.0
median_network_layer_diversity_score,4.336686889625777
median_cable_physical_candidate_diversity_score,2.0668001740013464
median_corridor_physical_candidate_diversity_score,1.983525133505847
cable_mismatch_network_high_physical_low,13.0
cable_mismatch_network_high_physical_high,19.0
cable_mismatch_network_low_physical_low,19.0
cable_mismatch_network_low_physical_high,12.0
corridor_mismatch_network_high_physical_low,11.0
corridor_mismatch_network_high_physical_high,21.0
corridor_mismatch_network_low_physical_low,21.0
corridor_mismatch_network_low_physical_high,10.0
cable_corridor_target_quadrant_preserved,8.0
cable_corridor_target_quadrant_jaccard,0.5
cable_corridor_target_quadrant_recall_from_cable,0.6153846153846154
cable_corridor_target_quadrant_precision_to_corridor,0.7272727272727273
mean_corridor_minus_cable_physical_diversity,-0.8438198920467974
cable_corridor_quadrant_agreement_rate,0.746031746031746
spearman_cable_corridor_physical_diversity_score,0.7188662137082598
