country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,10,4,8966->5384,0.4,0.8,0.9,3.298769776932235,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,5,0.8,0.2
AL,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,1,6939->6939,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,285,25,7578->7578,0.631578947368421,0.7298245614035087,0.8210526315789474,4.547790293857129,weak_network_transition_concentration,0.0,True,True,auditable,,155,52,0.9719298245614035,0.028070175438596492
AX,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2,5416->8966,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
BJ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,3,1,28683->174,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0
BR,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6,3,37468->-1,0.6666666666666666,0.8333333333333333,1.0,2.3811015779522995,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,6,0.0,1.0
CA,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,67,9,852->2914,0.5223880597014925,0.6716417910447761,0.7910447761194029,4.550538993060738,broad_network_transition_distribution,0.0,True,True,auditable,,57,17,0.14925373134328357,0.8507462686567164
CM,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1,60171->60171,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1,52320->52320,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CV,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1,37575->6939,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CW,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4,2,23520->23520,0.75,1.0,1.0,1.7547653506033232,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,0.0,1.0
CY,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,10,3,6866->1299,0.6,0.8,1.0,2.586409289858933,moderate_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,5,0.0,1.0
DJ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,5,2,30990->174,0.6,1.0,1.0,1.9601317042077895,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,4,0.0,1.0
DK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,3,1,9158->1299,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0
DO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,5,4,23520->23520,0.4,0.6000000000000001,0.8,3.7892914162759954,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,5,0.0,1.0
EE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,27,6,1299->1299,0.37037037037037035,0.5925925925925926,0.7407407407407407,5.02650723235202,broad_network_transition_distribution,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,26,17,0.0,1.0
ES,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,33,4,6939->6939,0.8787878787878788,0.9393939393939394,0.9696969696969697,1.6410887306772273,severe_network_transition_concentration,0.0,True,True,auditable,,31,18,0.06060606060606061,0.9393939393939394
FI,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,236,16,1299->1299,0.6779661016949152,0.8220338983050848,0.8516949152542372,3.621938832123764,moderate_network_transition_concentration,0.0,True,True,auditable,,205,76,0.0847457627118644,0.9152542372881356
FJ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2,24390->7575,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
GH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4,2,37468->37468,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0
GU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6,4,6939->6939,0.3333333333333333,0.6666666666666666,0.8333333333333333,3.77976314968462,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,3,0.0,1.0
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,164,15,2914->2914,0.7073170731707317,0.8780487804878049,0.9024390243902439,3.0072734764210898,moderate_network_transition_concentration,0.0,True,True,auditable,,155,73,0.0,1.0
HN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,8,4,23520->23520,0.375,0.75,0.875,3.509530701206647,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,7,0.0,1.0
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,62,28,38158->38158,0.1774193548387097,0.25806451612903225,0.3225806451612903,20.63189978439665,broad_network_transition_distribution,0.0,True,True,auditable,,54,38,0.5645161290322581,0.43548387096774194
