country,msm_id,file_name,total_hop_pair_segments,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,unique_as_boundary_transitions,top1_as_boundary_transition_key,top1_as_boundary_transition_share,top2_as_boundary_transition_share,top3_as_boundary_transition_share,effective_as_boundary_transition_count,as_boundary_transition_concentration_tier,auditable_as_boundary_case,as_boundary_observation_sufficiency_reason,unique_probes,unique_probe_asns
HN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,8,5,3,0,0.625,0.375,0.0,3,263725->54082,0.6,0.8,1.0,2.586409289858933,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",5,5
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,62,27,28,7,0.43548387096774194,0.45161290322580644,0.11290322580645161,16,45296->9002,0.14814814814814814,0.2962962962962963,0.4074074074074074,13.585217354734638,broad_as_boundary_transition_distribution,False,insufficient_minimum_mappable_segments,25,16
IN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,84,33,35,16,0.39285714285714285,0.4166666666666667,0.19047619047619047,5,6453->2914,0.6363636363636364,0.8484848484848485,0.9393939393939394,2.847500318196653,moderate_as_boundary_transition_concentration,True,auditable,27,16
IT,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6,1,5,0,0.16666666666666666,0.8333333333333334,0.0,1,8612->174,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0
KY,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,36549->3855,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
MT,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,15735->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
MV,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,8,8,0,0,1.0,0.0,0.0,2,7642->6939,0.875,1.0,1.0,1.4575692649810903,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",8,3
MX,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,265539->23520,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
MY,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,2,132372->6939,0.5,1.0,1.0,2.0,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
NC,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6,6,0,0,1.0,0.0,0.0,1,18200->38195,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2
NG,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6,3,3,0,0.5,0.5,0.0,2,37282->3356,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",3,3
NO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,44,5,39,0,0.11363636363636363,0.8863636363636364,0.0,4,49409->57829,0.4,0.6000000000000001,0.8,3.7892914162759954,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",4,3
NU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,55885->38800,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,122,15,101,6,0.12295081967213115,0.8278688524590164,0.04918032786885246,8,64073->137409,0.26666666666666666,0.4666666666666667,0.6,6.91580933611296,broad_as_boundary_transition_distribution,False,insufficient_minimum_mappable_segments,15,8
OM,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,8529->6939,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
PA,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,11556->23520,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
PG,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,17828->4826,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
PH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,40,11,29,0,0.275,0.725,0.0,9,45754->1299,0.18181818181818182,0.36363636363636365,0.4545454545454546,8.54923454974006,broad_as_boundary_transition_distribution,False,insufficient_minimum_mappable_segments,10,8
PR,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,2,5786->20080,0.5,1.0,1.0,2.0,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
PT,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,28,5,22,1,0.17857142857142858,0.7857142857142857,0.03571428571428571,3,37721->6939,0.4,0.8,1.0,2.8717458874925876,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",5,4
PW,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,17893->174,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
SA,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,3,3,0,0,1.0,0.0,0.0,1,39386->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1
SE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,36,2,34,0,0.05555555555555555,0.9444444444444444,0.0,2,9158->1299,0.5,1.0,1.0,2.0,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
SL,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,329109->60171,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
SN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,8346->6453,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
TW,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,106,6,46,54,0.05660377358490566,0.4339622641509434,0.5094339622641509,5,7539->3491,0.3333333333333333,0.5,0.6666666666666666,4.7622031559046,broad_as_boundary_transition_distribution,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",6,4
TZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,37035->37662,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
US,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,36,15,19,2,0.4166666666666667,0.5277777777777778,0.05555555555555555,4,137409->7578,0.7333333333333333,0.8666666666666666,0.9333333333333332,2.356491931971516,moderate_as_boundary_transition_concentration,False,insufficient_minimum_mappable_segments,15,6
ZA,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,9,3,6,0,0.3333333333333333,0.6666666666666666,0.0,1,37640->60171,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1
