country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,21859->4229,as_transition,cross_as_transition,4,4,0.024390243902439025,3,False,False,True,False,164,155,72,0,4
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,2,2,0.012195121951219513,4,False,False,False,False,164,155,72,0,2
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,7473->2914,as_transition,cross_as_transition,2,2,0.012195121951219513,5,False,False,False,False,164,155,72,0,2
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,3491->2914,as_transition,cross_as_transition,2,2,0.012195121951219513,6,False,False,False,False,164,155,72,0,2
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,9002->9002,as_transition,intra_as_hop_pair,2,2,0.012195121951219513,7,False,False,False,False,164,155,72,0,2
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,983->3491,as_transition,cross_as_transition,1,1,0.006097560975609756,8,False,False,False,False,164,155,72,0,1
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,17476->2914,as_transition,cross_as_transition,1,1,0.006097560975609756,9,False,False,False,False,164,155,72,0,1
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,3491->1299,as_transition,cross_as_transition,1,1,0.006097560975609756,10,False,False,False,False,164,155,72,0,1
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,8888->8888,as_transition,intra_as_hop_pair,1,1,0.006097560975609756,11,False,False,False,False,164,155,72,0,1
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,9299->1299,as_transition,cross_as_transition,1,1,0.006097560975609756,12,False,False,False,False,164,155,72,0,1
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,703->1299,as_transition,cross_as_transition,1,1,0.006097560975609756,13,False,False,False,False,164,155,72,0,1
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,45430->2914,as_transition,cross_as_transition,1,1,0.006097560975609756,14,False,False,False,False,164,155,72,0,1
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,9498->2914,as_transition,cross_as_transition,1,1,0.006097560975609756,15,False,False,False,False,164,155,72,0,1
HN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,23520->23520,as_transition,intra_as_hop_pair,3,3,0.375,1,True,False,False,False,8,8,6,0,3
HN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,263725->54082,as_transition,cross_as_transition,3,3,0.375,2,False,True,False,False,8,8,6,0,3
HN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,64150->54082,as_transition,cross_as_transition,1,1,0.125,3,False,False,True,False,8,8,6,0,1
HN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,23520->1299,as_transition,cross_as_transition,1,1,0.125,4,False,False,False,False,8,8,6,0,1
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,38158->38158,as_transition,intra_as_hop_pair,11,11,0.1774193548387097,1,True,False,False,False,62,54,37,11,0
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,7713->7713,as_transition,intra_as_hop_pair,5,5,0.08064516129032258,2,False,True,False,False,62,54,37,4,1
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:ID->SG,country_fallback,country_fallback,4,4,0.06451612903225806,3,False,False,True,True,62,54,37,0,4
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,45296->9002,as_transition,cross_as_transition,4,4,0.06451612903225806,4,False,False,False,False,62,54,37,0,4
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,45147->1299,as_transition,cross_as_transition,4,4,0.06451612903225806,5,False,False,False,False,62,54,37,0,4
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4800->4800,as_transition,intra_as_hop_pair,4,4,0.06451612903225806,6,False,False,False,False,62,54,37,4,0
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,23700->7632,as_transition,cross_as_transition,3,3,0.04838709677419355,7,False,False,False,False,62,54,37,3,0
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:ID->ID,country_fallback,country_fallback,3,3,0.04838709677419355,8,False,False,False,True,62,54,37,3,0
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,10217->2914,as_transition,cross_as_transition,2,2,0.03225806451612903,9,False,False,False,False,62,54,37,0,2
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,24203->6453,as_transition,cross_as_transition,2,2,0.03225806451612903,10,False,False,False,False,62,54,37,0,2
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,17451->17451,as_transition,intra_as_hop_pair,2,2,0.03225806451612903,11,False,False,False,False,62,54,37,1,1
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,137366->137366,as_transition,intra_as_hop_pair,2,2,0.03225806451612903,12,False,False,False,False,62,54,37,0,2
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,131111->2914,as_transition,cross_as_transition,2,2,0.03225806451612903,13,False,False,False,False,62,54,37,0,2
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,17451->174,as_transition,cross_as_transition,1,1,0.016129032258064516,14,False,False,False,False,62,54,37,0,1
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,24521->24521,as_transition,intra_as_hop_pair,1,1,0.016129032258064516,15,False,False,False,False,62,54,37,1,0
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,138115->149391,as_transition,cross_as_transition,1,1,0.016129032258064516,16,False,False,False,False,62,54,37,1,0
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,149728->58389,as_transition,cross_as_transition,1,1,0.016129032258064516,17,False,False,False,False,62,54,37,1,0
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,55685->55685,as_transition,intra_as_hop_pair,1,1,0.016129032258064516,18,False,False,False,False,62,54,37,1,0
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,135659->58389,as_transition,cross_as_transition,1,1,0.016129032258064516,19,False,False,False,False,62,54,37,1,0
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,142360->142360,as_transition,intra_as_hop_pair,1,1,0.016129032258064516,20,False,False,False,False,62,54,37,1,0
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,142360->136106,as_transition,cross_as_transition,1,1,0.016129032258064516,21,False,False,False,False,62,54,37,1,0
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,136106->136106,as_transition,intra_as_hop_pair,1,1,0.016129032258064516,22,False,False,False,False,62,54,37,1,0
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,138840->6939,as_transition,cross_as_transition,1,1,0.016129032258064516,23,False,False,False,False,62,54,37,0,1
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,23947->2914,as_transition,cross_as_transition,1,1,0.016129032258064516,24,False,False,False,False,62,54,37,0,1
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,147094->2914,as_transition,cross_as_transition,1,1,0.016129032258064516,25,False,False,False,False,62,54,37,0,1
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,17995->137366,as_transition,cross_as_transition,1,1,0.016129032258064516,26,False,False,False,False,62,54,37,0,1
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,9905->7632,as_transition,cross_as_transition,1,1,0.016129032258064516,27,False,False,False,False,62,54,37,1,0
IL,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1680->1680,as_transition,intra_as_hop_pair,5,5,0.5555555555555556,1,True,False,False,False,9,9,4,0,5
IL,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,12400->12400,as_transition,intra_as_hop_pair,4,4,0.4444444444444444,2,False,True,False,False,9,9,4,0,4
IN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6453->2914,as_transition,cross_as_transition,21,21,0.25,1,True,False,False,False,84,76,31,0,21
IN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,64049->64049,as_transition,intra_as_hop_pair,21,21,0.25,2,False,True,False,False,84,76,31,0,21
IN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:IN->SG,country_fallback,country_fallback,11,11,0.13095238095238096,3,False,False,True,True,84,76,31,0,11
IN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6453->6453,as_transition,intra_as_hop_pair,9,9,0.10714285714285714,4,False,False,False,False,84,76,31,1,8
IN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4755->6453,as_transition,cross_as_transition,7,7,0.08333333333333333,5,False,False,False,False,84,76,31,7,0
IN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:IN->IN,country_fallback,country_fallback,5,5,0.05952380952380952,6,False,False,False,True,84,76,31,5,0
IN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,9498->9498,as_transition,intra_as_hop_pair,5,5,0.05952380952380952,7,False,False,False,False,84,76,31,0,5
IN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,9498->1299,as_transition,cross_as_transition,3,3,0.03571428571428571,8,False,False,False,False,84,76,31,0,3
IN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4755->2914,as_transition,cross_as_transition,1,1,0.011904761904761904,9,False,False,False,False,84,76,31,0,1
IN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,136308->9498,as_transition,cross_as_transition,1,1,0.011904761904761904,10,False,False,False,False,84,76,31,1,0
IT,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,174->174,as_transition,intra_as_hop_pair,4,4,0.6666666666666666,1,True,False,False,False,6,4,3,1,3
IT,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,34428->34428,as_transition,intra_as_hop_pair,1,1,0.16666666666666666,2,False,True,False,False,6,4,3,1,0
IT,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,8612->174,as_transition,cross_as_transition,1,1,0.16666666666666666,3,False,False,True,False,6,4,3,1,0
KE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,2,1,0,2
KY,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,36549->3855,as_transition,cross_as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
LC,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,23520->23520,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,2,2,0,2
LK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,45489->45489,as_transition,intra_as_hop_pair,5,5,0.625,1,True,False,False,False,8,7,4,0,5
