country,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
FI,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,49282->42708,3,0.13636363636363635,4,False,False,False,236,22,214,0,0.09322033898305085,0.9067796610169492,0.0,20,7
FI,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1759->1299,2,0.09090909090909091,5,False,False,False,236,22,214,0,0.09322033898305085,0.9067796610169492,0.0,20,7
FI,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,202246->1299,1,0.045454545454545456,6,False,False,False,236,22,214,0,0.09322033898305085,0.9067796610169492,0.0,20,7
FJ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,24390->7575,1,1.0,1,True,False,False,2,1,0,1,0.5,0.0,0.5,1,1
GU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,3605->2914,1,1.0,1,True,False,False,6,1,5,0,0.16666666666666666,0.8333333333333334,0.0,1,1
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,21859->4229,4,0.26666666666666666,1,True,False,False,164,15,149,0,0.09146341463414634,0.9085365853658537,0.0,14,8
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,7473->2914,2,0.13333333333333333,2,False,True,False,164,15,149,0,0.09146341463414634,0.9085365853658537,0.0,14,8
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,3491->2914,2,0.13333333333333333,3,False,False,True,164,15,149,0,0.09146341463414634,0.9085365853658537,0.0,14,8
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,983->3491,1,0.06666666666666667,4,False,False,False,164,15,149,0,0.09146341463414634,0.9085365853658537,0.0,14,8
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,17476->2914,1,0.06666666666666667,5,False,False,False,164,15,149,0,0.09146341463414634,0.9085365853658537,0.0,14,8
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,3491->1299,1,0.06666666666666667,6,False,False,False,164,15,149,0,0.09146341463414634,0.9085365853658537,0.0,14,8
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,9299->1299,1,0.06666666666666667,7,False,False,False,164,15,149,0,0.09146341463414634,0.9085365853658537,0.0,14,8
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,703->1299,1,0.06666666666666667,8,False,False,False,164,15,149,0,0.09146341463414634,0.9085365853658537,0.0,14,8
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,45430->2914,1,0.06666666666666667,9,False,False,False,164,15,149,0,0.09146341463414634,0.9085365853658537,0.0,14,8
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,9498->2914,1,0.06666666666666667,10,False,False,False,164,15,149,0,0.09146341463414634,0.9085365853658537,0.0,14,8
HN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,263725->54082,3,0.6,1,True,False,False,8,5,3,0,0.625,0.375,0.0,5,5
HN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,64150->54082,1,0.2,2,False,True,False,8,5,3,0,0.625,0.375,0.0,5,5
HN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,23520->1299,1,0.2,3,False,False,True,8,5,3,0,0.625,0.375,0.0,5,5
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,45296->9002,4,0.14814814814814814,1,True,False,False,62,27,28,7,0.43548387096774194,0.45161290322580644,0.11290322580645161,25,16
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,45147->1299,4,0.14814814814814814,2,False,True,False,62,27,28,7,0.43548387096774194,0.45161290322580644,0.11290322580645161,25,16
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,23700->7632,3,0.1111111111111111,3,False,False,True,62,27,28,7,0.43548387096774194,0.45161290322580644,0.11290322580645161,25,16
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,10217->2914,2,0.07407407407407407,4,False,False,False,62,27,28,7,0.43548387096774194,0.45161290322580644,0.11290322580645161,25,16
