country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
PE,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,129,129.0,1,landing_region_0591::landing_region_0770,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,47,30,1,0.0,1.0
PG,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_0041::landing_region_0758,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
PH,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,253,253.0,42,landing_region_0133::landing_region_0250,0.4284584980237154,0.5272727272727272,0.6260869565217391,9.19716306093636,broad_corridor_observation_distribution,False,False,True,True,auditable,,31,16,1,0.6086956521739132,0.391304347826087
PK,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,11,11.0,1,landing_region_0132::landing_region_0485,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,1,0.0,1.0
PR,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,8,8.0,2,landing_region_0174::landing_region_0290,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0
PT,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,26,26.0,6,landing_region_0204::landing_region_0239,0.5769230769230769,0.6923076923076923,0.8076923076923077,3.827188732722886,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,1,0.9230769230769231,0.07692307692307693
QA,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_0031::landing_region_0337,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
RE,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,65,65.0,1,landing_region_0054::landing_region_0566,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probe_asns,minimum_unique_probe_asns,26,2,1,0.0,1.0
RU,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_0351::landing_region_0511,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0
SA,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_0035::landing_region_0431,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
SE,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,235,235.0,16,landing_region_0051::landing_region_0051,0.29148936170212764,0.5127659574468084,0.6085106382978723,8.58477295248872,broad_corridor_observation_distribution,False,False,True,True,auditable,,30,13,1,0.6680851063829787,0.33191489361702126
SG,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,521,521.0,6,landing_region_0132::landing_region_0266,0.8138195777351248,0.9539347408829175,0.9688099808061421,1.8969255687546145,severe_corridor_observation_concentration,True,True,True,True,auditable,,206,98,1,0.046065259117082535,0.9539347408829175
SL,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_0239::landing_region_0374,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
SN,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_0239::landing_region_0308,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
TH,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,66,66.0,7,landing_region_0132::landing_region_0892,0.3787878787878788,0.7272727272727273,0.9090909090909092,4.0110365374326555,weak_corridor_observation_concentration,True,True,True,True,auditable,,10,8,1,0.22727272727272727,0.7727272727272727
TO,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_0701::landing_region_0903,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
TW,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,286,286.0,11,landing_region_0719::landing_region_0719,0.17832167832167833,0.3531468531468531,0.4965034965034965,8.322689031179017,broad_corridor_observation_distribution,False,False,True,True,auditable,,31,8,1,0.6853146853146853,0.3146853146853147
US,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,1551,1551.0,22,landing_region_0266::landing_region_0348,0.4526112185686654,0.5747904577691811,0.683752417794971,6.613151201604565,broad_corridor_observation_distribution,False,False,True,True,auditable,,253,55,1,0.4687298517085751,0.5312701482914249
VE,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_0225::landing_region_0425,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
VI,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,12,12.0,4,landing_region_0174::landing_region_0208,0.5,0.6666666666666666,0.8333333333333333,3.464101615137755,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.5,0.5
VN,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0132::landing_region_0988,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0
ZA,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,371,371.0,4,landing_region_0233::landing_region_0239,0.633423180592992,0.8787061994609164,0.9838274932614556,2.5534393671387217,moderate_corridor_observation_concentration,True,True,True,True,auditable,,83,35,1,0.3504043126684636,0.6495956873315364
