metric,value
candidate_rows,8796.0
unique_links,2915.0
unique_units,91.0
units_with_network_layer_diversity,120.0
units_with_physical_diversity_cable,91.0
units_with_physical_diversity_corridor,91.0
units_with_network_physical_mismatch_cable,91.0
units_with_network_physical_mismatch_corridor,91.0
median_network_layer_diversity_score,4.6952241098851895
median_cable_physical_candidate_diversity_score,3.4096587011926855
median_corridor_physical_candidate_diversity_score,1.8898815748423097
cable_mismatch_network_high_physical_low,17.0
cable_mismatch_network_high_physical_high,29.0
cable_mismatch_network_low_physical_low,29.0
cable_mismatch_network_low_physical_high,16.0
corridor_mismatch_network_high_physical_low,13.0
corridor_mismatch_network_high_physical_high,33.0
corridor_mismatch_network_low_physical_low,34.0
corridor_mismatch_network_low_physical_high,11.0
cable_corridor_target_quadrant_preserved,13.0
cable_corridor_target_quadrant_jaccard,0.7647058823529411
cable_corridor_target_quadrant_recall_from_cable,0.7647058823529411
cable_corridor_target_quadrant_precision_to_corridor,1.0
mean_corridor_minus_cable_physical_diversity,-1.8895432345045722
cable_corridor_quadrant_agreement_rate,0.8131868131868132
spearman_cable_corridor_physical_diversity_score,0.6958313772398856
