country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum,country_fallback_share,sufficient_network_transition_resolution
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,268.0,268.0,7.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.7313432835820896,0.8208955223880597,0.875,1.0158715929679987,0.5220547276867726,2.7617694875228933,moderate_corridor_observation_concentration,True,True,True,True,auditable,,49.0,19.0,1.0,0.8283582089552238,0.17164179104477612,service_country_corridor_concentration_summary,SE,M-Root,all_publicly_visible,0.029850746268656716,True
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,268.0,268.0,7.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.7313432835820896,0.8208955223880597,0.875,1.0158715929679987,0.5220547276867726,2.7617694875228933,moderate_corridor_observation_concentration,True,True,True,True,auditable,,49.0,19.0,1.0,0.8283582089552238,0.17164179104477612,service_country_corridor_concentration_summary,SE,M-Root,resolved_entry_only,0.029850746268656716,True
ZA,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,221.0,221.0,3.0,landing_region_44e270aeb18c::landing_region_c88b92706e9c,0.7104072398190046,0.9819004524886878,1.0,0.669491015465762,0.6093969841511712,1.9532428971580587,moderate_corridor_observation_concentration,True,True,True,True,auditable,,87.0,44.0,1.0,0.27149321266968324,0.7285067873303167,country_corridor_concentration_summary,,,,,
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,34.0,34.0,4.0,landing_region_5631d1801aee::landing_region_65aa8d7cf62e,0.7058823529411765,0.9411764705882353,0.9705882352941176,0.7937480463282384,0.5725681850765264,2.2116703539873392,moderate_corridor_observation_concentration,True,True,True,True,auditable,,24.0,19.0,1.0,0.23529411764705882,0.7647058823529411,service_country_corridor_concentration_summary,RU,M-Root,resolved_entry_only,0.29411764705882354,True
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,74.0,74.0,7.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.6756756756756757,0.8175675675675675,0.9054054054054054,1.1065490431387124,0.5686537190198181,3.023905001992189,moderate_corridor_observation_concentration,True,True,True,True,auditable,,18.0,12.0,1.0,0.7027027027027027,0.2972972972972973,service_country_corridor_concentration_summary,GB,M-Root,all_publicly_visible,0.05405405405405406,True
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,74.0,74.0,7.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.6756756756756757,0.8175675675675675,0.9054054054054054,1.1065490431387124,0.5686537190198181,3.023905001992189,moderate_corridor_observation_concentration,True,True,True,True,auditable,,18.0,12.0,1.0,0.7027027027027027,0.2972972972972973,service_country_corridor_concentration_summary,GB,M-Root,resolved_entry_only,0.05405405405405406,True
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,88.0,88.0,4.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.6704545454545454,0.8295454545454545,0.9545454545454545,0.9609329820882894,0.6931666239427091,2.6141342764893345,moderate_corridor_observation_concentration,True,True,True,True,auditable,,21.0,11.0,1.0,0.6704545454545454,0.32954545454545453,service_country_corridor_concentration_summary,FR,M-Root,all_publicly_visible,0.0,True
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,88.0,88.0,4.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.6704545454545454,0.8295454545454545,0.9545454545454545,0.9609329820882894,0.6931666239427091,2.6141342764893345,moderate_corridor_observation_concentration,True,True,True,True,auditable,,21.0,11.0,1.0,0.6704545454545454,0.32954545454545453,service_country_corridor_concentration_summary,FR,M-Root,resolved_entry_only,0.0,True
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,503.0,503.0,10.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.6544731610337973,0.9347912524850895,0.9666003976143142,0.9075975349927121,0.39416460123632835,2.478361199247195,moderate_corridor_observation_concentration,True,True,True,True,auditable,,82.0,30.0,1.0,0.7793240556660039,0.220675944333996,service_country_corridor_concentration_summary,CA,M-Root,all_publicly_visible,0.1988071570576541,True
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,500.0,500.0,10.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.6524000000000001,0.9344000000000001,0.9664000000000001,0.9104900778864192,0.3954208166537338,2.485540343307644,moderate_corridor_observation_concentration,True,True,True,True,auditable,,81.0,29.0,1.0,0.778,0.222,service_country_corridor_concentration_summary,CA,M-Root,resolved_entry_only,0.196,True
FI,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,214.0,214.0,6.0,landing_region_5631d1801aee::landing_region_65aa8d7cf62e,0.6308411214953271,0.8504672897196262,0.9065420560747663,1.0947816702016844,0.6110092838930831,2.988530126979817,moderate_corridor_observation_concentration,True,True,True,True,auditable,,146.0,69.0,1.0,0.11214953271028037,0.8878504672897196,country_corridor_concentration_summary,,,,,
IL,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,85.0,85.0,4.0,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.611764705882353,0.8588235294117648,0.9411764705882354,1.0183194310316837,0.7345621965951404,2.7685381328917025,moderate_corridor_observation_concentration,True,True,True,True,auditable,,25.0,10.0,1.0,0.7529411764705882,0.24705882352941178,country_corridor_concentration_summary,,,,,
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,85.0,85.0,4.0,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.611764705882353,0.8588235294117648,0.9411764705882354,1.0183194310316837,0.7345621965951404,2.7685381328917025,moderate_corridor_observation_concentration,True,True,True,True,auditable,,25.0,10.0,1.0,0.7529411764705882,0.24705882352941178,service_country_corridor_concentration_summary,IL,M-Root,all_publicly_visible,0.0,True
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,85.0,85.0,4.0,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.611764705882353,0.8588235294117648,0.9411764705882354,1.0183194310316837,0.7345621965951404,2.7685381328917025,moderate_corridor_observation_concentration,True,True,True,True,auditable,,25.0,10.0,1.0,0.7529411764705882,0.24705882352941178,service_country_corridor_concentration_summary,IL,M-Root,resolved_entry_only,0.0,True
SE,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,43.0,43.0,4.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,0.5581395348837209,0.813953488372093,0.9534883720930233,1.0917352062605161,0.7875204840179681,2.9794395318268196,moderate_corridor_observation_concentration,True,True,True,True,auditable,,17.0,10.0,1.0,0.6046511627906976,0.3953488372093023,country_corridor_concentration_summary,,,,,
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,89.0,89.0,5.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.550561797752809,0.8089887640449438,0.8932584269662922,1.180485793967589,0.7334770635434034,3.25595554231719,moderate_corridor_observation_concentration,True,True,True,True,auditable,,31.0,13.0,1.0,0.5730337078651685,0.42696629213483145,service_country_corridor_concentration_summary,IT,M-Root,all_publicly_visible,0.16853932584269662,True
,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,89.0,89.0,5.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.550561797752809,0.8089887640449438,0.8932584269662922,1.180485793967589,0.7334770635434034,3.25595554231719,moderate_corridor_observation_concentration,True,True,True,True,auditable,,31.0,13.0,1.0,0.5730337078651685,0.42696629213483145,service_country_corridor_concentration_summary,IT,M-Root,resolved_entry_only,0.16853932584269662,True
FR,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,255.0,255.0,2.0,landing_region_08ea81d123b5::landing_region_d0ecf913edd7,0.5196078431372549,1.0,1.0,0.692378048326593,0.9988903767411548,1.998462326946053,moderate_corridor_observation_concentration,True,True,True,True,auditable,,189.0,84.0,1.0,0.0,1.0,country_corridor_concentration_summary,,,,,
PH,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,86.0,86.0,6.0,landing_region_319252418c1f::landing_region_71e1260196d0,0.4883720930232558,0.8662790697674418,0.936046511627907,1.1490709000781378,0.6413086799944151,3.1552599956002556,moderate_corridor_observation_concentration,True,True,True,True,auditable,,43.0,20.0,1.0,0.11627906976744186,0.8837209302325582,country_corridor_concentration_summary,,,,,
