feasible_corridor_count,bounded_candidate_set_segments,bounded_candidate_set_share
2,1424,0.33784104389086594
3,2396,0.5684460260972717
4,40,0.009489916963226572
5,191,0.04531435349940688
6,26,0.006168446026097271
7,2,0.00047449584816132857
8,6,0.0014234875444839859
10,25,0.005931198102016607
11,4,0.0009489916963226571
12,93,0.02206405693950178
14,2,0.00047449584816132857
21,6,0.0014234875444839859
