country,msm_id,file_name,total_hop_pair_segments,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,unique_as_boundary_transitions,top1_as_boundary_transition_key,top1_as_boundary_transition_share,top2_as_boundary_transition_share,top3_as_boundary_transition_share,effective_as_boundary_transition_count,as_boundary_transition_concentration_tier,auditable_as_boundary_case,as_boundary_observation_sufficiency_reason,unique_probes,unique_probe_asns
AE,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,83,52,26,5,0.6265060240963856,0.3132530120481928,0.060240963855421686,15,5384->8966,0.36538461538461536,0.6730769230769231,0.7307692307692307,6.723348373769369,broad_as_boundary_transition_distribution,True,auditable,44,31
AO,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,37468->11845,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
AU,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,966,124,711,131,0.12836438923395446,0.7360248447204969,0.13561076604554864,36,9942->7545,0.20967741935483872,0.3951612903225806,0.47580645161290325,17.103868510128642,broad_as_boundary_transition_distribution,True,auditable,98,61
BB,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,23520->52253,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
BH,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,15,7,8,0,0.4666666666666667,0.5333333333333333,0.0,3,5416->8966,0.42857142857142855,0.8571428571428571,1.0,2.729838563103603,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",6,5
BJ,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,11,10,0,1,0.9090909090909091,0.0,0.09090909090909091,3,28683->174,0.5,0.8,1.0,2.8000940728538315,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",6,3
BR,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,186,68,107,11,0.3655913978494624,0.5752688172043011,0.05913978494623656,28,3549->3356,0.23529411764705882,0.4117647058823529,0.5,15.52660910809343,broad_as_boundary_transition_distribution,True,auditable,65,44
CA,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,190,71,114,5,0.3736842105263158,0.6,0.02631578947368421,17,852->3257,0.323943661971831,0.5070422535211268,0.619718309859155,8.497641429673951,broad_as_boundary_transition_distribution,True,auditable,44,10
CN,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,51,27,23,1,0.5294117647058824,0.45098039215686275,0.0196078431372549,9,9808->58453,0.37037037037037035,0.5925925925925926,0.7037037037037037,6.172489851540399,broad_as_boundary_transition_distribution,False,insufficient_minimum_mappable_segments,24,15
CV,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,4,4,0,0,1.0,0.0,0.0,2,37575->6939,0.75,1.0,1.0,1.7547653506033232,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
CW,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,21,8,13,0,0.38095238095238093,0.6190476190476191,0.0,4,23520->27665,0.5,0.75,0.875,3.363585661014858,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",7,5
CY,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,21,18,2,1,0.8571428571428571,0.09523809523809523,0.047619047619047616,4,6866->3356,0.5,0.7222222222222222,0.9444444444444444,3.240179216676918,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",8,3
DJ,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,23,7,15,1,0.30434782608695654,0.6521739130434783,0.043478260869565216,5,37662->36902,0.42857142857142855,0.5714285714285714,0.7142857142857142,4.371369344007118,broad_as_boundary_transition_distribution,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",7,6
DK,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,79,13,56,10,0.16455696202531644,0.7088607594936709,0.12658227848101267,3,2603->1299,0.6153846153846154,0.9230769230769231,1.0,2.360187141185778,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",9,5
DO,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,14,11,3,0,0.7857142857142857,0.21428571428571427,0.0,5,64126->1299,0.36363636363636365,0.6363636363636364,0.8181818181818181,4.341152817605064,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",6,5
EE,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,59,14,45,0,0.23728813559322035,0.7627118644067796,0.0,2,2586->6667,0.9285714285714286,1.0,1.0,1.2934572090113128,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",6,3
ES,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,124,16,106,2,0.12903225806451613,0.8548387096774194,0.016129032258064516,8,174->36947,0.3125,0.5,0.625,6.621770460386251,broad_as_boundary_transition_distribution,False,insufficient_minimum_mappable_segments,14,11
FI,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,361,56,268,37,0.15512465373961218,0.7423822714681441,0.10249307479224377,14,719->6667,0.21428571428571427,0.375,0.48214285714285715,10.282531728142086,broad_as_boundary_transition_distribution,True,auditable,30,12
FJ,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,8,3,3,2,0.375,0.375,0.25,1,24390->7575,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
FR,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,955,170,745,40,0.17801047120418848,0.7801047120418848,0.041884816753926704,56,1299->64049,0.14705882352941177,0.2235294117647059,0.2823529411764706,34.20085980218331,broad_as_boundary_transition_distribution,True,auditable,169,118
GP,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,3,1,2,0,0.3333333333333333,0.6666666666666666,0.0,1,21351->2199,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
GU,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,23,2,21,0,0.08695652173913043,0.9130434782608695,0.0,1,9246->139759,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
HK,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,269,95,145,29,0.35315985130111527,0.5390334572490706,0.10780669144981413,43,58453->9808,0.18947368421052632,0.3157894736842105,0.4,23.882157968134006,broad_as_boundary_transition_distribution,True,auditable,91,68
HN,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,26,13,13,0,0.5,0.5,0.0,1,263725->54082,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",4,3
ID,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,275,97,144,34,0.3527272727272727,0.5236363636363637,0.12363636363636364,58,23700->7632,0.09278350515463918,0.14432989690721648,0.1958762886597938,45.63429108632352,broad_as_boundary_transition_distribution,True,auditable,63,49
IE,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,19,1,18,0,0.05263157894736842,0.9473684210526315,0.0,1,6830->174,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
IL,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,14,3,10,1,0.21428571428571427,0.7142857142857143,0.07142857142857142,3,208905->3491,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",3,3
IN,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,184,21,126,37,0.11413043478260869,0.6847826086956522,0.20108695652173914,13,64049->55836,0.19047619047619047,0.3333333333333333,0.47619047619047616,11.029385570485157,broad_as_boundary_transition_distribution,False,insufficient_minimum_mappable_segments,20,18
IT,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,47,10,36,1,0.2127659574468085,0.7659574468085106,0.02127659574468085,5,137->174,0.4,0.6000000000000001,0.8,4.352752816480621,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",9,4
JM,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,23520->46198,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
JP,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,21,3,18,0,0.14285714285714285,0.8571428571428571,0.0,2,6453->174,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1
KE,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,28,2,25,1,0.07142857142857142,0.8928571428571429,0.03571428571428571,2,37662->37133,0.5,1.0,1.0,2.0,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
KY,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,3,3,0,0,1.0,0.0,0.0,1,36549->3855,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
LK,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,31,15,16,0,0.4838709677419355,0.5161290322580645,0.0,5,18001->8966,0.6,0.7333333333333333,0.8666666666666667,3.33634603471975,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",9,5
LY,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,3,3,0,0,1.0,0.0,0.0,2,37558->37284,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",3,3
MT,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,5,5,0,0,1.0,0.0,0.0,1,15735->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1
MV,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,12,10,0,2,0.8333333333333334,0.0,0.16666666666666666,3,24016->45489,0.4,0.7,1.0,2.971004096610006,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",6,2
MX,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,6,6,0,0,1.0,0.0,0.0,1,265539->23520,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
MY,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,23,7,12,4,0.30434782608695654,0.5217391304347826,0.17391304347826086,4,38466->6453,0.42857142857142855,0.7142857142857142,0.8571428571428571,3.5859888270569544,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",5,4
NC,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,13,10,0,3,0.7692307692307693,0.0,0.23076923076923078,1,18200->38195,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2
NG,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,34,17,17,0,0.5,0.5,0.0,9,5511->29571,0.4117647058823529,0.5294117647058824,0.6470588235294117,6.4809219054703835,broad_as_boundary_transition_distribution,False,insufficient_minimum_mappable_segments,15,15
NL,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,49127->216455,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
NO,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,123,25,95,3,0.2032520325203252,0.7723577235772358,0.024390243902439025,11,49409->57829,0.28,0.4,0.52,8.92223910715731,broad_as_boundary_transition_distribution,False,insufficient_minimum_mappable_segments,12,10
NU,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,3,3,0,0,1.0,0.0,0.0,1,55885->38800,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0
NZ,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,381,40,301,40,0.10498687664041995,0.7900262467191601,0.10498687664041995,17,23655->9790,0.25,0.375,0.45,12.671019342628139,broad_as_boundary_transition_distribution,True,auditable,22,16
OM,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,8,3,5,0,0.375,0.625,0.0,3,8529->58453,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2
PA,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,7,7,0,0,1.0,0.0,0.0,4,11556->23520,0.5714285714285714,0.7142857142857142,0.8571428571428571,3.1700328249236738,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2
PE,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,6,1,5,0,0.16666666666666666,0.8333333333333334,0.0,1,3356->3549,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
PG,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,3,3,0,0,1.0,0.0,0.0,2,17828->4826,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
PH,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,118,26,86,6,0.22033898305084745,0.7288135593220338,0.05084745762711865,18,137818->132021,0.11538461538461539,0.23076923076923078,0.34615384615384615,15.97731080429503,broad_as_boundary_transition_distribution,False,insufficient_minimum_mappable_segments,19,15
PR,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,13,9,4,0,0.6923076923076923,0.3076923076923077,0.0,5,5786->20080,0.3333333333333333,0.6666666666666666,0.7777777777777777,4.326748710922226,broad_as_boundary_transition_distribution,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",5,3
PT,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,153,67,80,6,0.43790849673202614,0.5228758169934641,0.0392156862745098,26,6939->37662,0.31343283582089554,0.44776119402985076,0.5522388059701493,13.246322368908608,broad_as_boundary_transition_distribution,True,auditable,64,40
PW,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,17893->174,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
QA,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,4,2,2,0,0.5,0.5,0.0,1,8781->43852,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
SA,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,16,12,3,1,0.75,0.1875,0.0625,5,39386->9155,0.5833333333333334,0.75,0.8333333333333334,3.4358620884522524,weak_as_boundary_transition_concentration,False,insufficient_minimum_mappable_segments,12,8
SE,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,960,32,915,13,0.03333333333333333,0.953125,0.013541666666666667,12,1299->12552,0.21875,0.4375,0.5625,8.951328119678791,broad_as_boundary_transition_distribution,True,auditable,30,26
SG,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1069,526,395,148,0.4920486435921422,0.3695042095416277,0.1384471468662301,183,64049->55836,0.09125475285171103,0.13498098859315588,0.17870722433460076,97.52475482751758,broad_as_boundary_transition_distribution,True,auditable,504,295
SL,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,3,3,0,0,1.0,0.0,0.0,1,329109->60171,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
