country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_share,intra_as_hop_pair_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,83,23,5384->8966,0.2289156626506024,0.42168674698795183,0.5662650602409638,12.189079272896802,broad_network_transition_distribution,52,26,5,0.6265060240963856,0.3132530120481928,0.060240963855421686,True,True,auditable,,58,40,0.6746987951807228,0.3253012048192771
AL,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,11,2,6939->6939,0.7272727272727273,1.0,1.0,1.7967017416268891,moderate_network_transition_concentration,0,8,3,0.0,0.7272727272727273,0.2727272727272727,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,5,0.0,1.0
AO,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1,1,37468->11845,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
AU,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,966,60,7578->7578,0.40683229813664595,0.515527950310559,0.6014492753623188,11.95716613335475,broad_network_transition_distribution,124,711,131,0.12836438923395446,0.7360248447204969,0.13561076604554864,True,True,auditable,,421,227,0.8105590062111802,0.18944099378881987
AX,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,3,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,3,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BB,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1,1,23520->52253,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BH,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,15,5,8529->8529,0.26666666666666666,0.5333333333333333,0.7333333333333334,4.614706611083659,broad_network_transition_distribution,7,8,0,0.4666666666666667,0.5333333333333333,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,13,9,0.0,1.0
BJ,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,11,4,28683->174,0.45454545454545453,0.7272727272727273,0.9090909090909091,3.4579789224902,weak_network_transition_concentration,10,0,1,0.9090909090909091,0.0,0.09090909090909091,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,3,0.0,1.0
BR,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,186,38,52320->52320,0.3333333333333333,0.4193548387096774,0.5,14.828399930529068,broad_network_transition_distribution,68,107,11,0.3655913978494624,0.5752688172043011,0.05913978494623656,True,True,auditable,,175,123,0.6881720430107527,0.3118279569892473
CA,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,190,28,174->174,0.21052631578947367,0.33157894736842103,0.4421052631578947,14.80107976599059,broad_network_transition_distribution,71,114,5,0.3736842105263158,0.6,0.02631578947368421,True,True,auditable,,125,56,0.03684210526315789,0.9631578947368421
