country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
KY,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0174::landing_region_0412,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
LC,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,11,11.0,8,landing_region_0156::landing_region_0156,0.20454545454545456,0.4090909090909091,0.6136363636363636,6.4265231843454185,broad_corridor_observation_distribution,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.8181818181818182,0.18181818181818182
LI,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,19,19.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.2631578947368421,0.7368421052631579
LK,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,19,19.0,3,landing_region_0288::landing_region_0663,0.6842105263157895,0.8947368421052632,1.0,2.28110351518765,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1,1,0.0,1.0
ME,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0338::landing_region_0341,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
MM,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,10,10.0,1,landing_region_0132::landing_region_0926,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0
MP,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0014::landing_region_0824,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
MT,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,67,67.0,4,landing_region_0102::landing_region_0102,0.41044776119402987,0.8208955223880597,0.9402985074626866,3.1677982809249228,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,9,3,1,0.8208955223880597,0.1791044776119403
MV,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0288::landing_region_0439,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
MX,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,8,8.0,1,landing_region_0174::landing_region_0226,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
MY,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,56,56.0,6,landing_region_0132::landing_region_0655,0.7767857142857143,0.9285714285714286,0.9464285714285714,2.1595360767884424,moderate_corridor_observation_concentration,True,True,True,True,auditable,,13,10,1,0.17857142857142858,0.8214285714285714
NC,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,14,14.0,1,landing_region_0041::landing_region_0652,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,1,0.0,1.0
NG,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,13,13.0,2,landing_region_0233::landing_region_0556,0.6153846153846154,1.0,1.0,1.9469780302238757,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0
NL,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0149::landing_region_0159,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
NO,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,193,192.99999999999997,19,landing_region_0335::landing_region_0335,0.23316062176165803,0.35233160621761656,0.43523316062176165,13.360477372587873,broad_corridor_observation_distribution,False,False,True,True,auditable,,15,8,1,1.0,0.0
NU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0048::landing_region_0073,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
NZ,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,624,624.0,8,landing_region_0041::landing_region_0089,0.3293269230769231,0.6586538461538461,0.8573717948717948,4.624285587645309,weak_corridor_observation_concentration,True,True,True,True,auditable,,97,30,1,0.34134615384615385,0.6586538461538461
PA,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,30,30.0,4,landing_region_0174::landing_region_0287,0.7,0.8666666666666666,0.9333333333333332,2.482763859512428,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,5,4,1,0.16666666666666666,0.8333333333333334
PE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0174::landing_region_0591,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
PG,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0041::landing_region_0758,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
PH,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,306,305.99999999999994,36,landing_region_0133::landing_region_0250,0.6081699346405228,0.6882352941176471,0.7683006535947712,5.54178814415371,broad_corridor_observation_distribution,False,False,True,True,auditable,,34,18,1,0.7777777777777778,0.22222222222222227
PR,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,11,11.0,2,landing_region_0174::landing_region_0290,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0
PT,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,25,25.0,5,landing_region_0204::landing_region_0239,0.52,0.66,0.8,3.8615566579171605,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,1.0,0.0
SE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,497,497.00000000000006,14,landing_region_0351::landing_region_0512,0.2062374245472837,0.4124748490945674,0.613682092555332,8.222219276139588,broad_corridor_observation_distribution,False,False,True,True,auditable,,49,16,1,0.5171026156941649,0.48289738430583495
SG,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,117,117.0,10,landing_region_0132::landing_region_0230,0.29914529914529914,0.5982905982905983,0.683048433048433,6.229377317861038,broad_corridor_observation_distribution,False,False,True,True,auditable,,10,8,1,0.26495726495726496,0.7350427350427351
SN,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0239::landing_region_0308,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
TG,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0239::landing_region_0586,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
TH,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,65,65.0,7,landing_region_0132::landing_region_0892,0.5384615384615384,0.7846153846153846,0.8384615384615385,3.8603631604966084,weak_corridor_observation_concentration,True,True,True,True,auditable,,10,5,1,0.38461538461538464,0.6153846153846154
TN,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,9,9.0,1,landing_region_0166::landing_region_0431,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0
TO,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0701::landing_region_0903,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
TR,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,37,37.0,1,landing_region_0088::landing_region_0461,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,9,3,1,0.0,1.0
TT,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0742::landing_region_0742,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
TW,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,398,398.0,11,landing_region_0266::landing_region_0719,0.5175879396984925,0.6721105527638191,0.8190954773869347,4.679051075900615,weak_corridor_observation_concentration,True,True,True,True,auditable,,51,14,1,0.36180904522613067,0.6381909547738693
US,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,1720,1719.9999999999998,14,landing_region_0149::landing_region_0174,0.516860465116279,0.6758720930232558,0.8180232558139534,4.532037148960065,weak_corridor_observation_concentration,True,True,True,True,auditable,,210,38,1,0.9825581395348837,0.017441860465116282
VE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0225::landing_region_0425,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
VI,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,18,18.0,4,landing_region_0174::landing_region_0208,0.5,0.6666666666666666,0.8333333333333333,3.464101615137755,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.5,0.5
VN,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,56,56.0,2,landing_region_0132::landing_region_0988,0.8392857142857143,1.0,1.0,1.5540313604755496,severe_corridor_observation_concentration,True,True,True,True,auditable,,13,8,1,0.0,1.0
ZA,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,40,40.0,1,landing_region_0233::landing_region_0233,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,6,5,1,1.0,0.0
