feasible_corridor_count,bounded_candidate_set_segments,bounded_candidate_set_share
2,450,0.2542372881355932
3,1069,0.603954802259887
4,118,0.06666666666666667
5,76,0.04293785310734463
7,21,0.011864406779661017
8,36,0.020338983050847456
