probe_country,service_id,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
HN,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,30,30.0,3,landing_region_0174::landing_region_0775,0.43333333333333335,0.8666666666666667,1.0,2.7004057073750434,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,6,4,1,0.0,1.0
ID,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,211,211.0,11,landing_region_0061::landing_region_0132,0.504739336492891,0.7654028436018958,0.8080568720379148,4.67818503970098,weak_corridor_observation_concentration,True,True,True,True,auditable,,27,23,1,0.8388625592417062,0.16113744075829384
IL,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,142,142.0,1,landing_region_0083::landing_region_0083,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,20,8,1,1.0,0.0
IM,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0169::landing_region_0334,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
IN,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,19,19.0,1,landing_region_0260::landing_region_0663,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,5,1,1.0,0.0
IR,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_0149::landing_region_0159,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
IT,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0217::landing_region_0276,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
JP,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,1056,1056.0,13,landing_region_0024::landing_region_0266,0.5,0.8115530303030303,0.9507575757575757,3.4156090098848724,moderate_corridor_observation_concentration,True,True,True,True,auditable,,92,42,1,0.8418560606060606,0.1581439393939394
KE,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,13,13.0,1,landing_region_0312::landing_region_0650,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.0,1.0
KH,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0132::landing_region_0988,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
KN,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0149::landing_region_0174,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
KR,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,30,30.0,2,landing_region_0024::landing_region_0266,0.6166666666666667,1.0,1.0,1.9457984364065946,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",3,2,1,1.0,0.0
KY,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,6,6.0,2,landing_region_0174::landing_region_0412,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.3333333333333333,0.6666666666666666
LC,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,11,11.0,8,landing_region_0156::landing_region_0156,0.20454545454545456,0.4090909090909091,0.6136363636363636,6.4265231843454185,broad_corridor_observation_distribution,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.8181818181818182,0.18181818181818182
LI,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,14,14.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.35714285714285715,0.6428571428571429
LK,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,19,19.0,3,landing_region_0288::landing_region_0663,0.6842105263157895,0.8947368421052632,1.0,2.28110351518765,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1,1,0.0,1.0
ME,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0338::landing_region_0341,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
MH,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0024::landing_region_0266,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
ML,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0239::landing_region_0308,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
MM,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,10,10.0,1,landing_region_0132::landing_region_0926,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0
MN,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,8,8.0,1,landing_region_0132::landing_region_0230,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
MP,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,8,8.0,3,landing_region_0014::landing_region_0266,0.5,0.75,1.0,2.82842712474619,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
MT,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,57,57.0,4,landing_region_0102::landing_region_0102,0.4298245614035088,0.8596491228070176,0.9298245614035088,3.0004044569220256,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",8,2,1,0.8596491228070176,0.14035087719298245
MV,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0288::landing_region_0439,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
MX,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,8,8.0,1,landing_region_0174::landing_region_0226,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
MY,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,45,45.0,7,landing_region_0132::landing_region_0655,0.7777777777777778,0.8666666666666667,0.9111111111111111,2.4287071251153676,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,9,8,1,0.13333333333333333,0.8666666666666667
NA,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,1467,1467.0,103,landing_region_0024::landing_region_0266,0.15132924335378323,0.24880708929788684,0.2992501704158146,43.424057378120224,broad_corridor_observation_distribution,False,False,False,False,insufficient_minimum_unique_probe_asns,minimum_unique_probe_asns,43,1,1,0.6939331970006817,0.3060668029993183
NC,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,14,14.0,1,landing_region_0041::landing_region_0652,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,1,0.0,1.0
NG,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,13,13.0,2,landing_region_0233::landing_region_0556,0.6153846153846154,1.0,1.0,1.9469780302238757,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0
NL,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,9,9.0,3,landing_region_0039::landing_region_0159,0.5555555555555556,0.7777777777777778,1.0,2.7047973432601427,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.2222222222222222,0.7777777777777778
NO,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,203,202.99999999999997,21,landing_region_0335::landing_region_0335,0.22167487684729065,0.3349753694581281,0.41379310344827586,14.71160092453895,broad_corridor_observation_distribution,False,False,True,True,auditable,,15,8,1,1.0,0.0
NP,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2,2.0,2,landing_region_0229::landing_region_0663,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
NZ,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,532,532.0,8,landing_region_0041::landing_region_0089,0.32894736842105265,0.6578947368421053,0.8590225563909775,4.565299621976259,weak_corridor_observation_concentration,True,True,True,True,auditable,,83,29,1,0.34210526315789475,0.6578947368421053
PA,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,13,13.0,4,landing_region_0107::landing_region_0287,0.38461538461538464,0.6923076923076923,0.8461538461538463,3.6917721827352565,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.38461538461538464,0.6153846153846154
PE,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0174::landing_region_0603,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
PG,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0041::landing_region_0758,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
PH,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,273,272.99999999999994,37,landing_region_0133::landing_region_0250,0.5882783882783883,0.6652014652014653,0.7421245421245422,6.186178760078406,broad_corridor_observation_distribution,False,False,True,True,auditable,,31,16,1,0.7692307692307692,0.2307692307692308
PK,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,18,18.0,1,landing_region_0337::landing_region_0377,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,1.0,0.0
