country,msm_id,file_name,total_hop_pair_segments,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,unique_as_boundary_transitions,top1_as_boundary_transition_key,top1_as_boundary_transition_share,top2_as_boundary_transition_share,top3_as_boundary_transition_share,effective_as_boundary_transition_count,as_boundary_transition_concentration_tier,auditable_as_boundary_case,as_boundary_observation_sufficiency_reason,unique_probes,unique_probe_asns
AE,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,34,13,21,0,0.38235294117647056,0.6176470588235294,0.0,1,8966->5384,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",7,2
AU,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,156,9,101,46,0.057692307692307696,0.6474358974358975,0.2948717948717949,5,4804->7474,0.3333333333333333,0.5555555555555556,0.7777777777777777,4.585756412345816,broad_as_boundary_transition_distribution,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",6,5
BJ,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,28683->174,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
BR,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,59,2,56,1,0.03389830508474576,0.9491525423728814,0.01694915254237288,1,37468->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
CA,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,146,94,52,0,0.6438356164383562,0.3561643835616438,0.0,7,852->3257,0.5531914893617021,0.7659574468085106,0.8617021276595744,3.749532951456723,weak_as_boundary_transition_concentration,True,auditable,56,11
CN,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,8,8,0,0,1.0,0.0,0.0,2,9808->58453,0.875,1.0,1.0,1.4575692649810903,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2
CV,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,37575->6939,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
CW,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,8,2,6,0,0.25,0.75,0.0,1,23520->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
CY,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,18,16,2,0,0.8888888888888888,0.1111111111111111,0.0,2,6866->3356,0.75,1.0,1.0,1.7547653506033232,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",8,3
DK,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,11,11,0,0,1.0,0.0,0.0,1,2603->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",6,3
