probe_country,service_id,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
TH,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,184,184.0,5,landing_region_0132::landing_region_0132,0.9130434782608695,0.9456521739130435,0.9782608695652173,1.4987202360423233,severe_corridor_observation_concentration,True,True,True,True,auditable,,35,22,1,0.9456521739130435,0.05434782608695652,probe_country_service
TJ,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,23,23.0,1,landing_region_0051::landing_region_0512,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,13,10,1,0.0,1.0,probe_country_service
TL,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,38,38.0,6,landing_region_0132::landing_region_0132,0.42105263157894735,0.7368421052631579,0.8421052631578947,4.17912964083417,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",3,1,1,0.8947368421052632,0.10526315789473684,probe_country_service
TO,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,8,8.0,4,landing_region_0041::landing_region_0041,0.25,0.5,0.75,4.0,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.25,0.75,probe_country_service
TV,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,6,6.0,2,landing_region_0089::landing_region_0089,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.6666666666666666,0.3333333333333333,probe_country_service
TW,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,426,426.0,10,landing_region_0719::landing_region_0719,0.4295774647887324,0.6291079812206573,0.784037558685446,5.148424811063322,broad_corridor_observation_distribution,False,False,True,True,auditable,,34,15,1,0.8826291079812206,0.11737089201877934,probe_country_service
TZ,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0312::landing_region_0330,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
UA,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,24,24.0,1,landing_region_0051::landing_region_0512,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,12,9,1,0.0,1.0,probe_country_service
UG,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0054::landing_region_0650,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
US,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,578,578.0,20,landing_region_0223::landing_region_0223,0.6903114186851211,0.8633217993079585,0.9169550173010381,3.1046089856648993,moderate_corridor_observation_concentration,True,True,True,True,auditable,,99,40,1,0.9826989619377162,0.01730103806228374,probe_country_service
UZ,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,17,17.0,1,landing_region_0051::landing_region_0512,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",9,8,1,0.0,1.0,probe_country_service
VA,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0364::landing_region_0389,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5,probe_country_service
VE,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,17,17.0,3,landing_region_0210::landing_region_0210,0.7647058823529411,0.8823529411764706,1.0,2.031324469270484,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,0.8823529411764706,0.11764705882352941,probe_country_service
VI,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0174::landing_region_0208,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5,probe_country_service
VN,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,130,130.0,4,landing_region_0230::landing_region_0230,0.4846153846153846,0.9230769230769231,0.9923076923076923,2.546881309711212,moderate_corridor_observation_concentration,True,True,True,True,auditable,,16,11,1,0.9230769230769231,0.07692307692307693,probe_country_service
ZA,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,43,43.0,4,landing_region_0214::landing_region_0233,0.627906976744186,0.8372093023255814,0.9767441860465116,2.6693206191107546,moderate_corridor_observation_concentration,True,True,True,True,auditable,,14,6,1,0.023255813953488372,0.9767441860465116,probe_country_service
